product_id,user_id,rating
7,38,1
7,17,5
6,12,5
2,3,3
6,9,1
3,19,5
6,7,5
1,23,4
1,48,5
2,33,5
5,43,3
1,39,4
5,38,2
1,12,3
3,18,1
7,4,3
3,24,2
4,44,5
6,4,1
4,33,3
5,31,5
3,29,3
6,21,2
3,27,2
5,29,3
7,47,1
6,5,3
5,28,3
1,48,3
4,28,5
1,2,1
3,37,1
5,36,3
3,48,2
4,24,3
7,23,2
3,8,5
2,17,3
2,1,2
7,10,3
3,32,5
7,46,2
6,2,1
1,44,5
1,2,5
4,12,1
2,17,1
1,27,2
5,5,5
4,28,4
7,18,1
3,34,3
6,40,1
6,32,1
1,24,3
6,28,1
7,6,2
5,50,3
1,32,2
3,40,4
7,10,2
7,28,4
5,35,2
2,33,3
2,47,1
2,13,4
2,43,2
1,29,4
4,43,1
7,23,3
1,50,2
5,29,5
6,24,1
1,30,2
3,47,3
7,23,2
6,43,5
7,24,2
3,29,1
6,35,5
3,32,1
1,47,2
6,12,1
4,31,2
7,13,4
7,49,3
7,37,1
5,16,5
6,35,2
3,27,1
4,43,1
6,42,2
7,7,4
1,17,3
2,17,1
4,36,1
5,47,1
2,27,2
1,48,3
7,19,2
7,28,3
1,34,4
1,33,1
1,28,2
2,24,1
5,35,2
6,48,1
4,30,5
3,45,4
6,11,1
5,2,3
2,24,3
4,40,4
6,48,4
2,13,5
6,30,2
6,14,4
5,13,4
6,11,1
2,22,3
6,47,5
5,11,5
1,14,3
5,33,3
6,49,5
4,43,5
1,42,4
6,50,3
2,50,3
6,18,5
7,50,1
4,32,1
3,31,2
7,1,1
7,30,4
4,20,5
5,19,5
4,21,4
6,41,3
4,15,5
3,20,2
1,14,5
4,31,4
7,11,1
6,20,4
5,36,3
2,17,3
3,42,1
4,39,5
7,42,5
3,6,2
4,18,5
1,40,1
5,1,5
7,13,5
3,34,3
6,21,3
7,6,1
1,12,1
1,47,5
7,2,1
4,41,5
3,40,5
2,39,1
6,10,1
4,25,2
4,12,3
5,40,3
2,4,3
3,22,5
4,3,4
2,30,1
3,45,1
3,11,4
2,29,3
4,45,3
6,42,3
3,21,3
6,39,1
2,48,4
2,39,2
2,41,3
3,33,2
2,7,4
7,42,3
2,26,4
4,49,5
6,13,2
6,38,3
3,23,2
1,46,5
2,48,3
7,39,2
3,17,1
5,40,2
3,29,5
4,50,5
1,33,4
2,50,5
5,13,3
2,25,2
5,15,3
6,40,3
1,35,5
5,43,4
1,31,1
5,17,5
7,26,4
7,4,5
5,1,4
5,40,1
3,24,5
3,50,5
1,11,1
4,30,2
4,12,1
2,39,2
5,4,4
6,38,4
7,46,2
4,10,2
4,2,5
4,15,4
4,3,5
5,34,2
2,2,3
5,22,5
6,36,1
1,33,4
5,29,1
2,7,2
2,33,1
1,45,1
2,19,5
6,7,2
5,40,1
6,46,1
6,23,3
3,11,3
5,50,1
2,45,5
3,39,5
2,46,4
1,21,4
6,48,5
5,23,5
7,44,4
6,42,1
3,27,1
2,39,1
6,40,5
1,8,5
5,17,1
5,19,5
6,15,2
5,19,2
1,11,4
7,32,4
3,34,5
2,19,3
2,29,5
4,26,1
7,2,1
4,49,1
4,42,1
2,4,4
4,16,3
5,6,3
4,12,5
2,41,3
2,9,4
3,22,5
2,30,4
5,24,4
2,49,3
1,36,3
7,48,3
1,37,2
4,8,3
7,49,3
5,42,5
6,38,2
2,50,5
6,46,2
3,33,2
5,34,4
5,40,3
2,2,2
7,41,5
7,9,4
4,46,3
4,30,5
2,33,1
7,26,1
5,24,4
4,29,5
7,32,5
7,32,5
1,21,2
2,5,4
1,3,3
7,32,3
6,25,1
3,37,5
3,3,4
5,36,4
3,18,2
1,1,5
3,43,4
2,21,4
1,26,4
2,28,1
4,33,4
1,27,3
1,50,2
6,2,1
2,37,2
7,39,2
7,17,3
7,49,5
2,26,3
7,42,2
6,37,2
3,4,4
4,32,3
1,23,3
7,40,4
2,36,3
7,3,1
1,16,5
3,5,4
2,4,4
6,7,4
6,27,3
2,7,2
2,12,4
7,39,2
1,22,3
2,37,3
1,47,4
3,12,4
6,4,3
2,43,1
5,49,1
5,31,4
5,47,3
2,22,5
3,16,5
2,49,2
1,50,1
5,30,2
7,14,1
6,39,5
6,24,5
6,45,2
1,35,2
7,33,4
6,12,3
2,22,5
4,21,3
3,41,2
5,29,2
4,6,3
7,48,5
3,5,2
1,41,5
1,26,5
2,48,4
3,2,3
1,33,4
4,16,4
7,1,5
5,4,3
6,23,1
6,16,1
5,36,5
3,15,1
5,12,3
5,39,3
7,35,5
3,2,2
3,42,1
7,25,3
3,26,3
4,11,1
2,30,5
6,43,3
4,21,4
7,3,2
5,11,5
2,33,3
3,29,1
4,39,5
5,42,5
4,33,1
4,27,2
6,37,3
2,33,3
1,24,5
7,20,3
3,34,2
1,22,4
1,39,2
6,29,4
3,39,5
5,14,4
2,49,1
4,1,5
2,20,2
5,28,5
7,11,3
5,17,1
7,43,1
1,30,2
3,17,5
1,5,3
5,5,5
1,17,1
5,17,4
5,8,5
6,46,4
3,4,3
4,42,5
1,14,3
2,11,5
1,48,3
7,12,4
1,21,5
6,40,3
5,20,2
2,22,2
3,40,3
7,12,1
7,23,5
5,22,4
1,25,3
1,21,4
2,36,1
5,9,5
4,11,1
3,36,3
2,18,4
5,23,4
5,19,5
1,43,1
3,37,5
3,16,5
5,37,2
4,39,2
2,34,5
1,24,1
3,31,4
4,47,1
4,22,5
7,32,3
2,20,5
5,18,5
4,6,4
7,49,3
5,11,5
1,45,2
4,17,1
1,31,2
1,30,1
1,10,1
6,2,2
2,12,5
4,19,2
5,28,4
2,48,5
4,9,3
5,33,1
4,48,4
3,5,1
5,44,2
3,21,1
5,33,5
1,14,3
4,3,5
4,41,5
5,27,5
4,19,3
3,10,4
1,37,3
6,35,3
3,11,2
5,7,2
2,36,1
1,14,2
7,31,2
2,10,4
3,5,1
3,25,1
5,26,3
2,26,2
1,26,5
2,4,5
4,22,2
3,36,1
6,45,1
7,12,2
4,38,5
1,33,1
7,7,5
5,31,5
2,14,5
7,10,1
2,49,3
6,30,2
7,6,5
1,8,1
1,21,1
2,28,4
4,48,3
3,25,1
1,39,4
3,6,2
1,7,2
3,31,1
2,50,2
7,47,2
4,18,5
7,25,4
1,47,3
1,45,3
1,36,1
5,41,2
2,12,3
7,4,2
2,24,2
7,50,1
3,33,4
3,26,5
1,20,4
4,36,1
7,17,5
3,15,4
7,4,4
7,31,3
4,22,1
1,11,3
6,13,4
4,16,2
5,27,1
4,37,3
7,5,1
5,2,1
2,34,1
6,15,3
3,9,2
2,44,1
6,39,2
4,16,2
4,39,1
1,23,4
6,46,2
4,46,1
3,11,2
2,22,2
7,20,2
3,15,4
5,47,2
1,45,1
2,9,4
2,48,5
2,31,3
1,38,4
1,3,4
4,48,1
6,10,1
2,16,4
3,9,5
2,39,5
4,46,3
6,40,2
5,38,3
5,46,4
7,20,5
2,33,4
7,34,1
4,19,4
4,9,2
4,19,5
3,6,2
6,8,1
4,14,3
5,29,1
2,17,5
6,49,1
2,26,5
4,48,5
2,17,4
1,19,2
5,18,5
2,2,3
6,21,5
7,11,2
6,35,3
7,13,5
3,41,3
3,50,5
6,22,4
2,33,2
4,29,2
7,8,2
3,47,1
7,14,3
6,44,3
3,2,5
4,31,3
1,37,5
1,10,2
3,9,4
6,21,5
2,30,4
3,29,3
6,45,2
4,15,1
4,46,1
5,9,2
5,44,5
6,19,3
7,47,3
3,36,1
3,42,2
7,3,3
3,6,2
5,24,3
4,9,1
4,1,4
4,29,4
2,37,2
1,31,2
2,35,5
1,30,5
6,19,5
2,47,5
6,4,1
7,38,5
5,34,2
1,6,2
7,32,5
2,17,3
6,2,3
2,1,1
1,11,1
6,4,2
4,12,5
5,1,2
5,12,1
7,40,5
3,24,2
7,38,4
7,46,3
5,4,2
3,30,5
2,18,1
6,17,3
3,40,3
7,6,2
4,25,4
7,14,1
1,17,1
6,1,5
5,47,3
6,45,5
2,45,2
5,13,5
3,50,2
2,47,2
7,8,5
6,32,5
7,24,4
3,21,3
2,35,1
7,48,2
4,26,5
3,4,2
7,33,4
1,33,4
7,41,5
5,49,3
4,18,5
1,5,1
1,37,5
7,38,3
5,7,5
5,26,2
2,30,5
5,17,1
5,28,2
7,34,4
2,27,4
6,4,1
7,43,1
1,9,4
6,32,3
4,39,5
7,38,3
5,8,4
3,36,3
5,35,1
4,41,5
1,2,2
6,7,2
6,44,1
2,1,2
7,26,2
7,11,1
1,46,4
4,38,3
1,38,5
4,26,5
1,46,5
7,8,3
1,27,3
2,30,1
1,48,3
6,9,2
2,49,1
3,34,4
7,13,2
5,34,1
6,42,2
2,3,4
3,15,4
1,39,1
7,3,4
2,45,3
3,34,3
6,14,3
7,27,4
5,20,4
4,44,1
4,40,1
2,32,5
6,29,1
3,1,2
3,2,4
1,19,4
7,43,4
3,46,1
2,20,5
5,10,1
5,50,1
3,45,5
2,33,1
2,6,3
7,42,1
2,35,3
2,9,4
2,45,1
2,45,5
2,32,5
6,17,2
6,28,4
6,42,1
5,49,2
1,3,2
5,32,5
5,7,3
2,38,2
4,48,3
2,5,2
4,31,1
4,35,1
4,4,5
7,2,5
7,33,5
7,11,3
4,36,1
7,1,2
2,36,4
7,39,1
4,11,2
4,7,3
3,27,2
7,22,4
3,17,3
6,14,4
7,46,2
4,19,5
4,4,4
1,37,1
5,39,3
5,28,5
6,41,3
1,31,4
7,15,4
4,17,3
6,1,5
5,42,2
1,22,5
6,36,5
5,25,4
3,25,3
5,37,1
6,23,3
7,50,3
3,15,1
3,13,4
3,37,2
1,41,3
7,45,1
2,27,1
3,31,3
1,40,1
7,15,3
7,23,4
5,32,1
1,49,3
4,29,5
7,41,1
7,13,3
3,6,5
2,48,1
7,13,4
7,46,2
3,7,3
6,20,1
7,25,3
5,42,3
5,11,5
7,26,3
6,48,4
5,48,5
1,11,4
6,49,1
2,35,4
3,16,4
2,27,1
2,43,4
1,20,4
2,17,5
5,17,3
7,32,3
5,15,3
5,49,4
3,23,4
3,29,5
5,3,3
5,38,1
5,28,4
4,12,3
6,42,3
4,34,4
4,22,4
5,30,5
6,11,5
5,25,1
4,38,3
7,49,3
6,32,2
2,21,4
1,46,3
3,28,5
6,46,1
3,40,4
4,25,3
3,45,5
2,27,2
3,9,1
5,32,3
2,27,3
2,34,2
1,27,3
5,41,4
3,30,5
5,32,5
7,20,4
3,13,1
6,36,3
5,50,4
3,40,2
2,27,5
7,4,5
7,26,4
2,20,3
5,27,4
4,45,1
2,37,1
3,26,5
7,37,5
6,37,2
6,1,2
6,30,1
5,1,3
5,2,4
2,44,1
3,49,2
7,34,3
2,7,5
1,19,1
2,31,1
3,19,5
5,16,3
6,34,2
1,46,5
2,26,1
4,39,5
2,6,3
4,14,1
3,2,1
3,8,4
5,37,1
1,10,3
6,49,5
1,24,4
3,22,5
3,19,3
6,8,4
4,14,2
7,12,5
5,34,5
5,20,3
1,50,2
2,42,5
5,25,5
2,11,5
4,2,2
7,48,2
4,27,4
3,24,2
1,39,1
6,44,5
6,5,5
2,5,3
2,17,1
5,2,1
6,43,4
4,22,3
3,37,3
1,29,3
4,13,2
1,10,3
7,20,2
2,46,2
3,29,5
5,6,3
6,1,5
3,20,4
5,47,2
4,8,4
6,30,2
3,22,3
7,4,4
6,22,4
6,33,3
1,8,3
3,49,3
2,34,1
1,22,2
6,38,4
6,10,4
7,49,5
5,46,1
6,44,2
1,29,4
3,26,1
2,25,3
1,15,5
5,32,5
4,22,2
3,13,3
1,50,2
4,31,1
7,29,3
5,45,4
4,40,3
2,34,4
1,42,5
1,50,5
5,22,5
3,20,1
5,33,4
7,2,3
3,36,1
4,19,5
7,43,2
7,21,3
7,32,2
5,15,5
6,23,1
6,9,3
6,39,5
7,2,1
4,33,4
6,47,5
5,38,4
2,33,3
7,6,4
1,40,2
6,24,4
2,31,4
5,17,3
1,32,5
5,21,3
6,35,3
5,39,2
5,36,2
3,7,4
